职位名,公司名,工作地点,薪资,发布时间
Java开发工程师,深圳买金呗商业科技有限公司,深圳-福田区,1-2.5万/月,05-19
PHP/JAVA高级开发工程师,深圳市六度人和科技有限公司,深圳,1.5-3万/月,05-19
高级JAVA软件开发工程师,优购科技有限公司,深圳-南山区,1.5-2.5万/月,05-19
Java高级开发工程师,深圳前海融金所互联网金融服务有限公司,深圳-福田区,1.5-2.2万/月,05-19
Java资深开发工程师,深圳市街角电子商务有限公司,深圳-南山区,2-4万/月,05-19
高级JAVA工程师+包住宿+五险一金+双休,深圳市中源航空服务有限公司,深圳,0.8-1.5万/月,05-19
java开发培训老师,深圳市鸿渡锦程教育科技有限公司,深圳-福田区,1.5-2万/月,05-19
Java高级开发工程师,深圳市中天安驰有限责任公司,深圳-南山区,1.5-2.5万/月,05-19
Java高级开发工程师,上海携银信息科技有限公司,深圳-福田区,1-1.8万/月,05-19
Java高级开发工程师,深圳市卓成软件科技有限公司,深圳,1.5-2万/月,05-19
JAVA高级开发工程师,深圳智慧医学科技有限公司,深圳-南山区,2-3万/月,05-19
Java后台开发工程师,深圳市爱多照明有限公司,深圳-龙岗区,1-2.5万/月,05-19
java开发工程师,深圳市中盛瑞达科技有限公司,深圳,1-2万/月,05-19
Java开发工程师,深圳赫美智慧科技有限公司,深圳-福田区,1-2万/月,05-19
JAVA高级工程师,深圳众禄基金销售股份有限公司,深圳,2-3万/月,05-19
java中高级工程师,深圳市前海普点电子商务有限公司,深圳-福田区,0.9-1.5万/月,05-19
Java高级开发工程师,深圳市微创云启科技有限公司,深圳-南山区,1.5-2.4万/月,05-19
Java高级开发工程师,前海初道科技（深圳）有限公司,深圳-南山区,2-2.5万/月,05-19
中级java工程师,深圳益强信息科技有限公司,深圳-南山区,0.6-1万/月,05-19
JAVA软件工程师,万通金木软件开发有限公司,深圳,5-6.5千/月,05-19
Java高级开发工程师,深圳市骏凯联信科技有限公司,深圳-南山区,15-20万/年,05-19
java开发工程师/软件工程师 (10个月年终奖),深圳市乐易网络股份有限公司,深圳-南山区,0.8-1.6万/月,05-19
JAVA高级开发工程师,深圳市宇航软件股份有限公司,深圳-龙岗区,1.5-2万/月,05-19
JAVA高级开发工程师(PJAPRG10),深圳四方精创资讯股份有限公司,深圳,1.5-2.3万/月,05-19
JAVA开发工程师,深圳市神盾信息技术有限公司,深圳-南山区,0.8-1.6万/月,05-19
中级JAVA开发工程师,易交易科技（深圳）有限公司,深圳-南山区,0.7-1万/月,05-19
